epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.205,1.93125,2.15216,1.79897,0.38525,0.339,0.21792,0.0909,2.04649,3.93998,2.15523,0.0671467,0.000331852,0.000331852
2,330.937,1.88938,1.89359,1.81906,0.61386,0.37325,0.36696,0.17547,1.98567,1.89513,1.99296,0.0341401,0.0006586,0.0006586
3,417.162,1.86851,1.82351,1.80762,0.75734,0.37899,0.50362,0.20475,1.88664,1.83243,1.99804,0.0011269,0.000978748,0.000978748
4,501.641,1.84213,1.81333,1.7708,0.61592,0.41353,0.38956,0.19546,1.8559,1.77373,1.94291,0.0009703,0.0009703,0.0009703
5,588.072,1.8356,1.74164,1.76141,0.3852,0.41559,0.39182,0.19425,1.82946,1.67601,1.89803,0.0009604,0.0009604,0.0009604
6,673.342,1.77225,1.65159,1.70261,0.56831,0.42428,0.4276,0.20898,1.81404,1.61052,1.89924,0.0009505,0.0009505,0.0009505
7,760.941,1.78028,1.61854,1.74221,0.72322,0.44941,0.46756,0.21634,1.78826,1.60243,1.88789,0.0009406,0.0009406,0.0009406
8,848.164,1.76539,1.61491,1.71822,0.66864,0.47211,0.45159,0.21593,1.77555,1.5579,1.87305,0.0009307,0.0009307,0.0009307
9,934.024,1.7353,1.5476,1.68262,0.43775,0.49376,0.51601,0.254,1.74655,1.52123,1.83626,0.0009208,0.0009208,0.0009208
10,1021.52,1.72618,1.52637,1.68167,0.72841,0.50834,0.49505,0.24386,1.76123,1.51624,1.86849,0.0009109,0.0009109,0.0009109
11,1107.12,1.70788,1.52221,1.6772,0.47864,0.70579,0.54999,0.23148,1.8001,1.51243,1.90026,0.000901,0.000901,0.000901
12,1194.52,1.70554,1.46927,1.67659,0.68334,0.51831,0.68807,0.29779,1.73211,1.46123,1.82931,0.0008911,0.0008911,0.0008911
13,1280.8,1.69482,1.47037,1.66386,0.56432,0.69524,0.67794,0.26882,1.78296,1.42736,1.86895,0.0008812,0.0008812,0.0008812
14,1368.07,1.67482,1.42492,1.65593,0.69154,0.52225,0.5031,0.24938,1.76227,1.39425,1.86047,0.0008713,0.0008713,0.0008713
15,1455.52,1.67707,1.40717,1.66873,0.40469,0.58703,0.56698,0.26521,1.76932,1.42467,1.86728,0.0008614,0.0008614,0.0008614
16,1541.9,1.63632,1.3452,1.61269,0.54187,0.53562,0.55924,0.27596,1.76209,1.363,1.87197,0.0008515,0.0008515,0.0008515
17,1629.21,1.64524,1.33877,1.61785,0.54115,0.6934,0.73723,0.31579,1.7055,1.3878,1.80241,0.0008416,0.0008416,0.0008416
18,1715.98,1.6256,1.32649,1.61705,0.71849,0.53751,0.51426,0.26056,1.77557,1.36927,1.85915,0.0008317,0.0008317,0.0008317
19,1803.49,1.61312,1.30539,1.61111,0.5901,0.72294,0.59446,0.2929,1.75306,1.35844,1.85575,0.0008218,0.0008218,0.0008218
20,1891.06,1.6338,1.32556,1.6159,0.73523,0.53427,0.64141,0.31094,1.74448,1.36416,1.85242,0.0008119,0.0008119,0.0008119
21,1977.15,1.58416,1.29393,1.59394,0.56364,0.76716,0.63063,0.30564,1.71869,1.36065,1.86334,0.000802,0.000802,0.000802
22,2064.93,1.61743,1.2987,1.62932,0.6723,0.5318,0.7098,0.32838,1.72704,1.30953,1.84055,0.0007921,0.0007921,0.0007921
23,2151.33,1.57373,1.28913,1.58059,0.71169,0.52826,0.71482,0.35354,1.74167,1.33658,1.84002,0.0007822,0.0007822,0.0007822
24,2239.18,1.57631,1.24343,1.59588,0.71581,0.53811,0.72676,0.33733,1.73421,1.29507,1.83615,0.0007723,0.0007723,0.0007723
25,2327.2,1.57116,1.23368,1.57501,0.49747,0.53785,0.54691,0.28612,1.70804,1.35888,1.82145,0.0007624,0.0007624,0.0007624
26,2413.54,1.55991,1.23698,1.58717,0.66336,0.7055,0.74074,0.32663,1.77368,1.2952,1.88473,0.0007525,0.0007525,0.0007525
27,2501.3,1.55916,1.18453,1.57661,0.73315,0.60198,0.78313,0.34614,1.78412,1.28179,1.85382,0.0007426,0.0007426,0.0007426
28,2588.83,1.55118,1.17529,1.5652,0.68182,0.68014,0.74472,0.30011,1.75337,1.27898,1.87525,0.0007327,0.0007327,0.0007327
29,2674.97,1.54623,1.14714,1.56437,0.55918,0.86032,0.76639,0.30553,1.79229,1.29835,1.88237,0.0007228,0.0007228,0.0007228
30,2762.58,1.54605,1.1586,1.56572,0.55279,0.80874,0.75282,0.38614,1.75316,1.25137,1.85461,0.0007129,0.0007129,0.0007129
31,2848.79,1.5271,1.15837,1.54852,0.75503,0.52234,0.63607,0.302,1.74629,1.23635,1.8567,0.000703,0.000703,0.000703
32,2936.55,1.5258,1.15963,1.55171,0.66574,0.78477,0.73905,0.41294,1.77628,1.28386,1.86223,0.0006931,0.0006931,0.0006931
33,3022.71,1.50344,1.1469,1.55054,0.68924,0.66395,0.76558,0.39,1.74894,1.23269,1.85652,0.0006832,0.0006832,0.0006832
34,3110.13,1.49404,1.09706,1.54798,0.46189,0.85183,0.76663,0.42321,1.72986,1.24258,1.83935,0.0006733,0.0006733,0.0006733
35,3198.67,1.52617,1.11065,1.55976,0.60962,0.66867,0.74787,0.31792,1.76956,1.28413,1.88376,0.0006634,0.0006634,0.0006634
36,3285.13,1.48571,1.11659,1.5274,0.72453,0.70819,0.79275,0.41749,1.77364,1.23597,1.87815,0.0006535,0.0006535,0.0006535
37,3372.27,1.49456,1.08298,1.54024,0.72453,0.56302,0.77207,0.35598,1.75686,1.24524,1.8604,0.0006436,0.0006436,0.0006436
38,3459.72,1.48924,1.07081,1.53491,0.50556,0.86371,0.79526,0.37365,1.75305,1.24036,1.85641,0.0006337,0.0006337,0.0006337
39,3546.11,1.49044,1.07143,1.52788,0.63972,0.80739,0.78273,0.3698,1.74137,1.21425,1.85873,0.0006238,0.0006238,0.0006238
40,3633.69,1.45664,1.04584,1.5102,0.74741,0.60835,0.60094,0.29607,1.80901,1.21996,1.90839,0.0006139,0.0006139,0.0006139
41,3720.09,1.44853,1.03411,1.50336,0.54891,0.54947,0.567,0.29342,1.75819,1.18211,1.87617,0.000604,0.000604,0.000604
